"","congress","speaker","position","party","date"
"163","1992_duesseldorf","Friedrich Merz",0.869885576837421,"CDU","10/26/1992"
"164","1992_duesseldorf","Fritz Tremmel",-2.12909549828799,"CDU","10/26/1992"
"165","1992_duesseldorf","Georg Gölter",0.440917691348678,"CDU","10/26/1992"
"166","1992_duesseldorf","Georg Jarzembowski",-2.02489391201276,"CDU","10/26/1992"
"167","1992_duesseldorf","Georg Milbradt",-2.14238418354594,"CDU","10/26/1992"
"168","1992_duesseldorf","Gerhard Stoltenberg",0.467188133112726,"CDU","10/26/1992"
"169","1992_duesseldorf","Godelieve Quisthoudt-Rowohl",0.678939165907635,"CDU","10/26/1992"
"170","1992_duesseldorf","Günter Rinsche",1.27074018331922,"CDU","10/26/1992"
"171","1992_duesseldorf","Günther Krause",-2.1386421062197,"CDU","10/26/1992"
"172","1992_duesseldorf","Hanna-Renate Laurien",-0.0151709783042503,"CDU","10/26/1992"
"173","1992_duesseldorf","Hannelore Rönsch",-0.183104457301222,"CDU","10/26/1992"
"174","1992_duesseldorf","Hans Filbinger",0.336535729991285,"CDU","10/26/1992"
"175","1992_duesseldorf","Hans Geisler",-0.434925851107375,"CDU","10/26/1992"
"176","1992_duesseldorf","Hans Waldeck",-0.0978505392635846,"CDU","10/26/1992"
"177","1992_duesseldorf","Hans-Gert Pöttering",0.784650342022054,"CDU","10/26/1992"
"178","1992_duesseldorf","Hans-Hermann Ott",-0.123487291664575,"CDU","10/26/1992"
"179","1992_duesseldorf","Hans-Peter Repnik",-0.149349274750368,"CDU","10/26/1992"
"180","1992_duesseldorf","Hans-jürgen Doss",0.286921696073913,"CDU","10/26/1992"
"181","1992_duesseldorf","Harald Noack",-0.288668999503776,"CDU","10/26/1992"
"182","1992_duesseldorf","Hedda Meseke",0.346147775532399,"CDU","10/26/1992"
"183","1992_duesseldorf","Hedwig Keppelhoff-Wiechert",0.594992660611651,"CDU","10/26/1992"
"184","1992_duesseldorf","Heinz Eggert",0.652047414972007,"CDU","10/26/1992"
"185","1992_duesseldorf","Heinz-Adolf Hörsken",0.369955020070247,"CDU","10/26/1992"
"186","1992_duesseldorf","Helmut Kohl",0.634806843862929,"CDU","10/26/1992"
"187","1992_duesseldorf","Helmut Linssen",-0.202987929933518,"CDU","10/26/1992"
"188","1992_duesseldorf","Herbert Goliasch",-2.12748505446979,"CDU","10/26/1992"
"189","1992_duesseldorf","Herbert Reul",-2.2189534582325,"CDU","10/26/1992"
"190","1992_duesseldorf","Heribert Scharrenbroich",0.308893888863079,"CDU","10/26/1992"
"191","1992_duesseldorf","Hermann Gröhe",0.401560384569983,"CDU","10/26/1992"
"192","1992_duesseldorf","Holger Müller",-0.0959282604880243,"CDU","10/26/1992"
"193","1992_duesseldorf","Horst Köhler",1.00029898290952,"CDU","10/26/1992"
"194","1992_duesseldorf","Horst Waffenschmidt",0.318809506398964,"CDU","10/26/1992"
"195","1992_duesseldorf","Hubert Hüppe",-2.16603790144254,"CDU","10/26/1992"
"196","1992_duesseldorf","Irmgard Klingbeil",0.537275431985989,"CDU","10/26/1992"
"197","1992_duesseldorf","Joachim Grünewald",0.367144792659734,"CDU","10/26/1992"
"198","1992_duesseldorf","Johannes Gerster",-2.20165341030095,"CDU","10/26/1992"
"199","1992_duesseldorf","Johannes Mertens",-0.494844067404586,"CDU","10/26/1992"
"200","1992_duesseldorf","Josef Stock",0.247007023145324,"CDU","10/26/1992"
"201","1992_duesseldorf","Karl Lamers",0.999218300030873,"CDU","10/26/1992"
"202","1992_duesseldorf","Karl von Wogau",1.20844880366397,"CDU","10/26/1992"
"203","1992_duesseldorf","Karl-Heinz Hornhues",0.189232169672313,"CDU","10/26/1992"
"204","1992_duesseldorf","Klaus Laepple",-0.0470933216455763,"CDU","10/26/1992"
"205","1992_duesseldorf","Klaus Landowsky",0.384220318856366,"CDU","10/26/1992"
"206","1992_duesseldorf","Klaus Töpfer",-1.77326668154856,"CDU","10/26/1992"
"207","1992_duesseldorf","Klaus Zeh",0.846670988621085,"CDU","10/26/1992"
"208","1992_duesseldorf","Klaus-Thomas Schüle",-2.26972292221322,"CDU","10/26/1992"
"209","1992_duesseldorf","Kurt Biedenkopf",0.40512658077408,"CDU","10/26/1992"
"210","1992_duesseldorf","Leo Lennartz",0.0633238369220864,"CDU","10/26/1992"
"211","1992_duesseldorf","Manfred Kanther",0.355951910068973,"CDU","10/26/1992"
"212","1992_duesseldorf","Marlene Lenz",0.878098570019301,"CDU","10/26/1992"
"213","1992_duesseldorf","Matthias Wissmann",0.80325080899435,"CDU","10/26/1992"
"214","1992_duesseldorf","Norbert Blüm",-1.66283711778746,"CDU","10/26/1992"
"215","1992_duesseldorf","Ottfried Hennig",-0.11954119886818,"CDU","10/26/1992"
"216","1992_duesseldorf","Otto Bardong",0.641056663834854,"CDU","10/26/1992"
"217","1992_duesseldorf","Peter Altmaier",0.855946405954929,"CDU","10/26/1992"
"218","1992_duesseldorf","Peter Hans",0.827832821708225,"CDU","10/26/1992"
"219","1992_duesseldorf","Peter Hintze",0.269086095127117,"CDU","10/26/1992"
"220","1992_duesseldorf","Peter Jungen",0.244883072672091,"CDU","10/26/1992"
"221","1992_duesseldorf","Peter Kittelmann",0.970124914274875,"CDU","10/26/1992"
"222","1992_duesseldorf","Peter Rauen",-2.3009535813362,"CDU","10/26/1992"
"223","1992_duesseldorf","Rainer Eppelmann",0.41717033301767,"CDU","10/26/1992"
"224","1992_duesseldorf","Reinhard Gönner",0.564688566070108,"CDU","10/26/1992"
"225","1992_duesseldorf","Reinhard Sager",0.37283955427935,"CDU","10/26/1992"
"226","1992_duesseldorf","Reinhard Schulze",0.396917439598831,"CDU","10/26/1992"
"227","1992_duesseldorf","Renate Hellwig",0.656382061481667,"CDU","10/26/1992"
"228","1992_duesseldorf","Rita Süssmuth",-1.62261592227008,"CDU","10/26/1992"
"229","1992_duesseldorf","Rolf Berend",0.753830234489768,"CDU","10/26/1992"
"230","1992_duesseldorf","Rudolf Krause",0.383226823461581,"CDU","10/26/1992"
"231","1992_duesseldorf","Rudolf Luster",0.995971086156214,"CDU","10/26/1992"
"232","1992_duesseldorf","Rudolf Seiters",-2.41471014387787,"CDU","10/26/1992"
"233","1992_duesseldorf","Rudolf Warnking",0.0451973503160324,"CDU","10/26/1992"
"234","1992_duesseldorf","Rupert Scholz",-1.97219620235818,"CDU","10/26/1992"
"235","1992_duesseldorf","Sabine Bergmann-Pohl",-2.23888127190778,"CDU","10/26/1992"
"236","1992_duesseldorf","Siegfried Ernst",-1.88616487335188,"CDU","10/26/1992"
"237","1992_duesseldorf","Stephan Eisel",0.517245185343849,"CDU","10/26/1992"
"238","1992_duesseldorf","Tamara Zieschang",1.01349632016564,"CDU","10/26/1992"
"239","1992_duesseldorf","Thomas Stritzl",0.555147476303986,"CDU","10/26/1992"
"240","1992_duesseldorf","Udo Haschke",0.229397580000939,"CDU","10/26/1992"
"241","1992_duesseldorf","Ulf Fink",-2.25676510709367,"CDU","10/26/1992"
"242","1992_duesseldorf","Ulrich Born",0.28859620455771,"CDU","10/26/1992"
"243","1992_duesseldorf","Ulrich Junghanns",-0.036129882734238,"CDU","10/26/1992"
"244","1992_duesseldorf","Ulrich Klinkert",0.81800719947802,"CDU","10/26/1992"
"245","1992_duesseldorf","Ursula Braun-Moser",0.535875213058481,"CDU","10/26/1992"
