"speaker","congress"
"Heiner Geißler","1996_hannover"
"Heinrich-Wilhelm Averwerser","1996_hannover"
"Helmut Kohl","1996_hannover"
"Helmut Linssen","1996_hannover"
"Herbert Reul","1996_hannover"
"Hubert Scharf","1996_hannover"
"Jochen-Konrad Fromme","1996_hannover"
"Johanna Gräfin von Westphalen","1996_hannover"
"Johannes Gerster","1996_hannover"
"Jürgen Rüttgers","1996_hannover"
"Jürgen Schreier","1996_hannover"
"Jürgen Seidel","1996_hannover"
"Karl-Josef Laumann","1996_hannover"
"Klaus Escher","1996_hannover"
"Klaus Töpfer","1996_hannover"
"Kurt Biedenkopf","1996_hannover"
"Laurenz Meyer","1996_hannover"
"Leo Lennartz","1996_hannover"
"Manfred Kanther","1996_hannover"
"Maria Michalk","1996_hannover"
"Marion Fischer","1996_hannover"
"Martin Klein","1996_hannover"
"Matthias Wissmann","1996_hannover"
"Michel Friedman","1996_hannover"
"Norbert Blüm","1996_hannover"
"Norbert Lammert","1996_hannover"
"Ottfried Hennig","1996_hannover"
"Otti Geschka","1996_hannover"
"Otto Wulff","1996_hannover"
"Peter Altmaier","1996_hannover"
"Peter Hintze","1996_hannover"
"Peter Jungen","1996_hannover"
"Peter Müller","1996_hannover"
